Country,Year,Region,Disease_Name,Prevalence_Rate,Incidence_Rate,Mortality_Rate,Recovery_Rate,Healthcare_Access_Index,Hospital_Beds_per_1000,Doctors_per_1000,Vaccination_Coverage,Life_Expectancy,Median_Age,Urban_Population_Percent,GDP_Per_Capita,Health_Expenditure_Percent_GDP,Population,Male_Female_Ratio,Smoking_Prevalence
India,2011,North,HIV/AIDS,1453.61,509.46,6.76,97.26,43.94,7.39,2.28,70.02,72,27,42.81,7228,5.32,149716071,1.01,20.57
India,2007,North,Cancer,4520.86,1706.54,12.49,64.32,28.4,10.89,1.92,39.96,70,28,33.58,4642,5.97,10984355,1.05,21.95
India,2017,North,Malaria,1871.83,79.45,15.86,76.34,67.27,12.82,1.64,78.77,57,21,33.7,6169,5.04,173705923,1.05,12.84
India,2021,East,Heart Disease,3874.5,1924.48,17.12,69.48,80.64,4.86,7.94,93.88,65,29,45.74,1869,4.94,152938814,0.95,27.24
India,2005,South,HIV/AIDS,3733.71,1305.71,9.77,92.37,47.06,9.1,6.62,40.41,73,34,49.28,1671,4.14,36533674,0.99,28.02
India,2023,West,Diabetes,3467.32,1409.73,11.45,42.36,54.64,2.42,3.78,41.17,55,35,36.76,5243,3.45,61582479,0.98,34.06
India,2003,North,Heart Disease,2163.94,166.44,18.98,88.21,38.82,7.32,0.87,38.05,69,21,34.13,3152,5.19,34336385,0.9,19.38
India,2009,North,Asthma,1951.25,1769.17,14.92,77.15,84.01,14.56,3.61,77.0,68,32,40.4,2618,5.29,15390042,0.97,19.91
India,2012,North,Cancer,3515.68,695.26,11.61,51.29,84.3,6.07,4.75,57.02,60,31,42.94,7482,5.13,140295833,0.99,33.42
India,2001,Central,Flu,4416.49,703.03,19.39,79.66,60.46,11.67,7.03,56.16,72,33,26.55,2542,3.93,130748027,0.96,34.85
India,2002,East,Diabetes,4422.45,1136.67,6.17,58.18,71.57,14.55,5.38,48.96,59,35,37.85,6907,4.19,188033747,0.89,13.38
India,2010,West,Heart Disease,2089.21,131.8,1.15,84.53,28.51,8.99,5.5,45.49,63,21,47.28,1536,4.85,38141737,0.99,32.59
India,2018,West,Tuberculosis,1805.33,391.11,10.67,50.7,79.97,2.32,3.4,96.83,56,32,44.41,3414,2.64,69488554,0.86,29.92
India,2017,Central,Flu,4254.09,788.96,11.32,78.05,25.41,8.43,7.98,50.15,67,24,42.41,7358,3.47,17910116,0.97,25.61
India,2014,South,Flu,4495.05,95.71,5.72,79.84,60.81,0.76,2.96,79.03,56,20,37.32,3692,5.86,159733261,0.91,23.63
India,2009,West,Malaria,3917.84,1551.56,3.44,77.01,32.98,6.38,4.0,84.02,62,33,29.39,3188,5.5,153555158,0.97,18.41
India,2014,Central,Heart Disease,4307.24,1307.89,0.96,88.77,43.21,13.96,0.2,59.84,75,31,27.1,2681,5.3,60549522,0.87,29.85
India,2010,South,Malaria,445.41,1286.79,18.46,71.96,81.63,13.41,2.1,76.84,64,32,25.22,3031,2.19,127682468,1.07,26.3
India,2005,South,Heart Disease,1555.5,495.03,16.6,90.17,30.44,13.52,6.5,97.66,58,26,27.46,3629,2.12,134060339,0.91,17.97
India,2017,North,Diabetes,1408.81,1442.08,8.05,81.62,89.63,14.12,0.59,33.29,71,26,42.09,5456,4.48,78643722,0.95,16.2
India,2012,North,HIV/AIDS,3645.78,699.61,1.55,76.17,93.75,13.78,1.17,45.98,61,35,28.38,6824,2.51,145265311,0.9,30.07
India,2022,North,Tuberculosis,4399.17,1383.23,14.4,61.63,27.91,9.53,7.24,88.22,58,24,34.84,5659,2.45,43764355,0.88,10.6
India,2011,South,Malaria,2135.63,406.57,6.93,72.35,26.7,11.77,4.19,37.25,75,32,40.26,4844,4.41,96412465,0.86,34.46
India,2012,North,Flu,2291.59,1905.25,3.47,56.87,42.13,11.93,6.47,83.15,70,32,33.86,2484,5.62,9810352,0.89,20.61
India,2022,Central,Heart Disease,2043.92,513.11,0.95,72.88,45.18,11.0,7.07,75.86,62,22,49.42,1966,5.86,174839371,0.85,23.55
India,2022,South,Tuberculosis,3384.64,999.36,18.97,70.35,72.24,3.02,6.59,44.18,57,22,43.27,5687,2.11,112639266,0.89,23.12
India,2005,West,Malaria,3776.27,135.61,16.56,59.55,32.75,9.8,2.42,69.89,64,30,44.68,4852,2.13,105940720,0.9,27.75
India,2020,South,Diabetes,4000.37,1201.5,1.7,64.18,41.94,8.29,3.68,32.76,74,30,34.11,2100,5.98,93941253,0.86,11.16
India,2022,West,Flu,1667.43,1103.89,8.08,72.27,35.6,11.61,4.42,54.15,61,30,34.98,6267,4.53,91132144,0.99,26.95
India,2003,West,Cancer,2763.94,1063.62,1.67,50.66,42.88,1.33,7.74,48.91,55,28,42.21,2762,3.44,134626083,1.03,12.82
India,2020,East,Asthma,996.78,1940.06,12.64,70.11,85.33,4.06,3.71,33.18,71,20,38.07,5205,3.68,133347152,0.95,14.6
India,2019,West,Asthma,2111.6,1438.03,10.65,97.3,98.43,1.94,7.8,33.75,70,27,46.89,4575,4.95,96121718,0.96,21.64
India,2021,West,Heart Disease,969.14,1403.16,12.64,49.84,26.46,4.74,6.59,70.47,73,29,45.86,3067,4.38,43187135,1.05,16.71
India,2024,Central,Diabetes,345.06,702.95,10.77,61.7,72.43,11.45,1.32,93.12,55,32,29.73,6641,4.21,165233130,0.89,11.37
India,2006,West,HIV/AIDS,4291.15,676.18,10.02,52.99,62.81,14.01,4.29,35.65,66,20,35.76,3895,5.38,26290586,0.87,20.55
India,2012,North,HIV/AIDS,1779.44,558.77,16.26,75.25,21.7,11.86,2.82,60.57,67,24,28.67,4135,2.9,144127622,0.9,22.9
India,2020,North,Heart Disease,2994.05,337.3,14.11,51.83,79.41,7.18,0.89,37.02,59,23,28.98,4482,3.57,44746146,1.05,15.95
India,2000,Central,Asthma,1981.3,519.31,0.48,98.68,66.05,1.6,1.81,76.93,69,22,34.11,5476,5.43,90871318,0.99,22.77
India,2008,West,Flu,4323.94,1422.09,2.97,95.35,93.64,13.37,1.55,47.16,72,27,27.7,4576,3.6,28451810,0.87,26.48
India,2024,West,Heart Disease,4531.01,914.39,11.01,50.87,99.24,4.47,2.31,57.57,64,35,25.87,5843,3.0,165448535,1.04,34.29
India,2019,West,COVID-19,1503.09,508.9,4.5,64.39,22.2,2.15,4.99,34.21,61,31,39.79,6979,4.24,15649856,0.99,25.84
India,2007,South,Tuberculosis,4558.66,826.67,4.92,84.55,21.4,7.64,0.44,50.81,55,21,32.23,4828,3.16,130725716,0.96,30.3
India,2001,Central,HIV/AIDS,1487.9,777.5,3.87,87.55,71.48,9.91,7.57,56.51,60,32,31.47,7600,4.27,42905383,0.92,16.42
India,2016,East,COVID-19,4871.1,1983.15,8.48,58.01,43.98,2.32,7.35,49.25,61,24,43.19,7916,2.79,13482576,0.93,31.66
India,2023,South,Heart Disease,1452.53,1130.9,16.75,92.21,31.26,12.15,2.45,96.4,67,33,46.06,7271,4.17,112763702,0.94,20.84
India,2012,North,Flu,3334.47,1324.69,16.16,59.38,40.65,9.16,7.15,80.36,70,27,37.76,7728,5.25,158269339,0.88,27.92
India,2019,West,COVID-19,4949.66,1009.95,19.62,69.85,47.12,12.12,4.22,48.25,63,27,42.72,4743,4.34,152032925,1.01,24.51
India,2002,East,COVID-19,1521.7,1651.14,14.95,68.31,69.72,3.29,7.68,73.91,72,29,30.2,4794,2.93,187744061,1.02,15.27
India,2013,South,Cancer,3565.31,1843.85,16.74,86.63,50.34,0.61,7.85,92.62,59,28,43.18,5174,2.08,133083885,0.99,10.59
India,2011,North,Cancer,761.08,904.29,16.62,72.68,95.63,6.94,0.94,65.87,71,21,25.06,7011,5.35,85763048,1.01,10.76
India,2024,East,Flu,4474.45,579.67,18.69,69.33,72.01,13.73,3.71,50.15,57,33,48.56,7283,3.69,43296878,1.06,10.41
India,2024,East,COVID-19,3941.71,793.48,16.86,93.37,85.25,11.34,6.39,98.08,73,30,40.26,6012,4.25,55212246,0.9,24.09
India,2017,West,Tuberculosis,2892.03,1086.81,15.5,67.22,71.0,8.25,4.17,69.18,56,21,26.92,4329,3.64,100386709,0.93,32.23
India,2025,East,Asthma,3231.36,1459.81,19.04,68.12,87.8,11.57,2.39,98.22,61,33,39.92,5178,2.43,80261004,1.04,34.59
India,2017,West,Flu,315.41,1596.17,0.16,93.52,82.75,6.11,4.22,96.2,61,23,45.07,4247,4.36,25066342,1.04,16.53
India,2015,South,Malaria,2888.52,602.42,6.9,65.54,48.12,10.58,3.07,67.19,68,28,34.78,3949,4.49,121832169,1.02,16.41
India,2014,West,HIV/AIDS,160.13,22.42,16.49,40.68,77.75,8.3,7.55,40.1,58,22,36.43,5135,3.14,95550815,0.85,33.43
India,2018,East,Malaria,4933.1,1461.85,6.44,73.81,80.62,2.15,0.84,66.6,67,24,33.98,1992,2.8,136516961,0.99,22.12
India,2012,South,HIV/AIDS,3086.88,17.65,0.81,44.38,30.49,2.29,3.76,50.11,68,34,48.51,7485,5.25,24779696,0.91,28.23
India,2005,West,Heart Disease,1838.52,902.36,18.4,82.86,87.94,0.95,6.13,74.44,75,35,37.58,7892,4.88,15669540,0.94,17.86
India,2019,North,COVID-19,692.88,1721.56,0.62,55.03,21.97,6.56,1.59,40.03,66,26,40.56,6590,2.94,122276786,0.99,16.52
India,2011,West,Heart Disease,2690.77,151.58,8.01,54.68,23.23,13.6,3.4,65.11,73,31,37.47,7937,3.9,107384734,1.05,15.43
India,2021,West,Cancer,2777.59,57.24,17.0,49.26,21.19,1.07,4.34,31.37,58,31,38.62,5715,2.67,62863028,0.9,19.12
India,2014,West,COVID-19,1928.63,749.28,13.26,87.72,62.29,12.88,6.63,72.03,68,29,35.63,4721,5.88,193975524,0.98,15.2
India,2024,East,Malaria,3912.31,1250.3,19.56,71.85,97.37,5.16,3.72,74.58,66,34,32.11,1585,5.73,52383072,0.95,34.65
India,2015,Central,COVID-19,3868.26,531.68,9.15,65.4,68.24,9.17,4.08,95.95,70,34,29.58,4073,4.03,132510523,1.06,27.57
India,2017,North,HIV/AIDS,4535.31,211.47,3.19,40.24,31.97,2.79,1.42,37.93,70,29,28.49,2590,3.41,36415645,0.95,26.06
India,2011,Central,COVID-19,3787.76,1651.19,6.98,47.53,36.71,11.66,1.24,99.26,57,32,33.61,7195,5.83,145038687,0.9,24.97
India,2025,South,Tuberculosis,3325.43,803.76,17.3,72.78,68.99,3.81,0.13,82.04,67,22,48.94,2169,5.03,176758779,0.86,29.87
India,2011,North,Asthma,1729.42,1946.72,10.72,46.06,34.97,6.67,3.03,53.58,58,21,48.98,2770,3.52,3020951,1.08,31.4
India,2002,West,Malaria,2908.53,465.59,6.23,89.77,65.44,9.37,7.52,53.49,57,31,34.57,3390,4.87,152110456,1.06,13.68
India,2011,East,Asthma,1747.77,691.74,17.57,47.63,35.76,11.88,4.19,51.87,56,34,46.23,1843,3.19,113383513,0.89,10.44
India,2003,North,Cancer,992.04,966.92,7.09,83.97,42.43,1.94,2.66,42.42,66,28,44.43,3977,4.35,158846073,0.85,13.27
India,2017,East,Diabetes,1528.8,604.19,5.2,49.7,47.03,10.96,1.91,41.77,64,27,48.25,4820,5.53,175497113,0.89,27.22
India,2018,East,Flu,750.77,1614.78,0.42,70.82,64.25,2.73,2.57,56.18,56,34,27.32,2725,2.61,13562854,1.01,32.41
India,2025,South,Cancer,147.48,366.01,16.62,49.92,48.3,8.91,0.91,97.39,74,20,36.37,5533,3.48,179957757,1.09,25.56
India,2010,Central,Heart Disease,4716.3,1026.32,10.57,70.86,92.15,6.93,1.8,65.9,63,25,45.03,5371,5.3,99843577,1.05,21.87
India,2002,North,COVID-19,3778.25,1866.11,16.61,42.08,84.34,10.04,3.44,73.3,74,25,38.03,1660,2.73,146307058,1.03,33.78
India,2018,East,Malaria,3733.13,855.27,17.63,72.77,72.69,4.79,5.82,92.12,75,31,35.21,6371,5.99,196201841,0.9,17.44
India,2004,East,COVID-19,249.9,607.41,15.21,71.64,93.47,5.19,0.54,61.68,73,27,48.47,3389,2.52,63889445,0.98,13.15
India,2012,North,Diabetes,2730.56,195.93,5.67,94.39,99.81,10.33,0.91,63.11,62,20,38.07,7368,3.24,2416158,0.87,29.82
India,2015,Central,Cancer,3906.01,135.56,17.62,92.77,21.03,5.47,6.35,92.21,69,22,39.78,7055,2.81,14817213,1.06,24.55
India,2015,Central,HIV/AIDS,1682.84,774.18,3.29,89.41,59.76,6.49,1.74,54.03,73,31,43.27,3313,5.5,95796235,0.97,29.17
India,2009,East,Heart Disease,299.61,481.14,4.63,67.23,98.63,14.97,7.85,99.31,58,26,26.41,3724,3.62,60098578,0.93,18.59
India,2020,North,Asthma,4678.21,880.02,9.49,50.58,70.9,1.25,5.84,34.59,56,32,45.42,6386,4.69,104547076,1.05,20.08
India,2015,South,HIV/AIDS,498.09,1323.53,4.1,54.98,49.38,3.08,1.01,74.39,68,30,37.91,5064,3.68,180964569,0.94,28.85
India,2020,East,Tuberculosis,3355.74,1423.99,19.45,83.63,21.37,14.0,6.54,37.71,68,20,49.82,4832,2.55,156941707,1.07,16.76
India,2019,East,Tuberculosis,1231.38,109.06,2.89,50.6,23.48,10.02,5.76,46.21,65,30,37.52,4238,5.42,120867599,1.0,34.6
India,2025,East,Heart Disease,2928.0,482.05,13.17,43.41,67.64,5.89,2.09,63.91,68,30,26.47,6205,3.58,159586663,0.89,28.79
India,2022,Central,Asthma,1502.44,73.16,16.63,90.14,72.47,5.49,7.37,81.99,56,28,39.2,5146,3.67,97621781,1.06,16.06
India,2024,South,Heart Disease,4761.9,735.92,12.17,60.58,96.11,10.91,5.97,58.79,62,27,38.0,5063,2.49,117552750,1.08,33.32
India,2006,North,HIV/AIDS,2983.1,941.24,8.38,93.28,41.64,3.98,0.82,97.57,60,28,44.24,2036,2.06,114817500,0.92,28.32
India,2006,North,Malaria,4743.96,86.16,13.63,87.83,92.8,4.59,6.63,43.22,57,31,25.17,2466,5.59,73989077,0.94,24.94
India,2001,Central,Heart Disease,4274.97,853.62,14.6,92.47,73.84,6.13,4.16,49.17,72,30,48.2,7982,3.03,148881878,0.98,31.21
India,2014,West,Diabetes,2376.45,1542.23,6.14,74.4,86.48,14.44,5.4,70.4,60,24,47.37,1944,3.76,150788678,1.07,31.83
India,2019,Central,Malaria,2849.54,1862.29,15.34,91.03,87.9,14.6,4.87,46.42,57,24,27.26,4395,2.15,57662504,1.04,14.62
India,2019,North,COVID-19,2136.39,483.7,5.72,59.18,22.89,1.21,5.6,45.6,67,26,43.67,3378,3.49,134516039,1.02,17.47
India,2023,East,Flu,4160.71,1018.79,19.18,59.09,58.18,8.86,0.89,54.73,56,31,31.18,1993,4.96,123089325,0.87,29.9
India,2025,West,Tuberculosis,3025.18,844.39,15.54,64.55,27.87,2.51,3.32,46.34,67,23,27.22,2742,2.73,30062417,1.0,19.37
India,2004,Central,Diabetes,485.56,946.55,12.01,54.49,28.48,5.99,1.06,32.02,58,35,39.9,7888,5.31,33471005,1.08,24.89
India,2004,South,Flu,1038.12,1281.59,13.42,60.52,60.2,9.91,6.34,42.82,67,28,25.84,6029,5.3,170688279,1.02,13.33
India,2019,Central,Malaria,2902.47,243.11,6.68,66.89,73.05,2.19,1.09,54.85,75,23,34.06,2477,2.75,92001349,0.93,27.5
India,2017,North,Tuberculosis,2490.03,692.49,10.5,71.3,51.44,2.18,1.86,34.06,68,25,45.96,5862,2.59,19663435,0.9,16.4
India,2016,Central,Cancer,4412.47,201.22,18.12,61.29,27.57,9.2,4.26,83.87,69,33,42.5,5892,5.97,44780016,1.09,28.25
India,2025,East,Heart Disease,637.94,1385.14,0.38,96.48,64.76,0.73,7.8,85.97,74,27,35.02,4582,5.48,95067698,0.88,22.32
India,2010,Central,Heart Disease,2056.32,731.19,3.03,46.46,48.76,3.53,3.85,64.36,75,25,36.4,2440,5.61,53750624,1.07,19.9
India,2024,South,HIV/AIDS,3337.72,645.88,8.71,61.89,61.49,5.02,3.57,54.49,68,28,43.35,4973,5.75,29163403,1.08,29.3
India,2001,South,Tuberculosis,4937.03,1385.98,17.14,89.43,76.37,0.77,4.28,46.3,58,24,25.74,6370,5.47,12172517,0.91,27.58
India,2010,West,Cancer,2220.47,1269.41,4.04,76.71,53.97,3.3,7.46,70.3,62,21,46.87,6005,6.0,62604507,1.03,19.73
India,2012,North,HIV/AIDS,3741.34,1857.46,0.64,77.0,39.5,14.15,1.34,31.24,60,20,47.25,6585,5.42,17365551,0.93,14.9
India,2011,West,COVID-19,1024.81,1278.7,16.18,42.35,31.02,1.71,1.23,65.92,75,35,32.85,3945,3.44,92880279,0.97,23.18
India,2021,West,Cancer,2304.54,1447.05,14.05,86.01,90.39,10.69,1.67,78.75,66,30,32.58,4730,2.0,37064322,0.91,32.09
India,2015,West,Diabetes,1875.26,1885.18,1.52,67.05,82.6,4.73,0.55,62.67,72,30,39.62,7373,4.66,153434221,0.87,28.76
India,2002,Central,Heart Disease,3086.66,1903.04,4.45,65.24,65.29,5.72,1.05,45.1,62,29,40.88,3670,4.73,162344495,0.92,20.86
India,2025,East,Asthma,4148.6,1374.41,10.04,43.09,23.87,5.11,6.26,50.52,60,26,27.19,3638,2.93,139864969,1.09,34.55
India,2016,West,COVID-19,1877.06,1913.64,4.24,75.86,59.83,12.45,7.68,34.93,75,24,27.21,4755,5.29,41046728,1.05,21.75
India,2008,East,Heart Disease,4355.15,486.97,15.14,47.41,55.71,7.49,0.69,81.5,72,32,45.51,5872,5.01,99249908,0.9,19.88
India,2008,North,Malaria,3507.07,156.07,6.51,62.24,79.94,6.71,2.42,72.58,67,20,26.21,7564,3.04,199418156,0.85,28.78
India,2001,North,Asthma,1151.27,284.42,11.39,68.43,75.97,2.7,7.69,77.6,68,34,29.4,4178,4.6,42092409,1.03,32.71
India,2008,West,Tuberculosis,3290.15,1190.94,7.86,80.49,81.31,10.88,3.66,88.0,68,32,40.47,2938,3.07,9585296,0.98,16.58
India,2000,West,HIV/AIDS,4800.1,710.26,6.92,50.81,75.02,12.43,7.38,71.69,69,33,27.74,6480,4.27,85231781,0.85,15.61
India,2011,Central,Cancer,2296.68,1264.95,3.04,43.37,62.5,3.68,4.4,74.21,73,35,45.28,2172,3.29,48179095,1.02,31.78
India,2005,Central,Malaria,1795.65,349.8,10.53,60.71,84.53,2.13,6.32,71.29,65,25,37.33,4488,3.29,58837096,0.93,17.33
India,2024,Central,HIV/AIDS,1617.26,1765.39,13.1,41.18,24.65,12.01,5.9,32.2,66,25,47.58,1843,4.47,198346911,0.92,33.53
India,2011,East,Cancer,2595.73,452.74,7.06,92.14,21.6,5.62,1.15,77.61,75,27,31.82,7987,2.33,191456563,0.87,19.14
India,2004,West,Flu,688.4,356.66,9.84,61.34,79.35,5.18,0.89,33.95,72,33,44.79,4731,3.88,195589892,0.91,19.03
India,2020,South,Malaria,1793.19,97.86,4.86,62.17,82.8,13.23,7.01,73.4,67,28,39.58,4059,2.15,155334156,1.03,32.48
India,2015,South,Diabetes,2335.89,1340.43,9.03,63.08,47.18,3.84,3.56,98.23,60,20,43.42,2808,3.67,98497147,0.96,28.68
India,2025,South,Cancer,4498.69,971.86,2.26,93.93,40.9,2.16,2.25,60.21,57,20,49.09,3027,2.24,145647256,0.94,28.87
India,2015,East,COVID-19,215.27,1990.26,19.96,76.8,53.49,11.12,2.97,52.32,67,26,31.98,2495,3.23,69485937,1.06,18.9
India,2008,Central,Cancer,545.68,754.48,9.78,76.44,27.45,6.54,0.51,70.8,62,31,37.78,6834,5.67,180490972,0.86,19.14
India,2012,South,Diabetes,732.83,738.45,18.23,97.89,62.2,6.55,2.13,76.44,64,24,36.5,4495,2.19,177340947,0.96,17.37
India,2004,West,COVID-19,1971.13,830.48,4.18,58.53,45.19,5.59,6.48,65.79,57,24,32.06,5135,2.24,1696478,0.93,21.06
India,2016,Central,Cancer,3229.84,387.88,2.69,91.71,58.94,13.17,2.44,58.78,57,22,41.7,7475,2.22,97827648,1.06,23.27
India,2017,Central,COVID-19,3700.74,136.72,8.74,53.68,70.51,10.23,3.28,65.81,61,20,43.7,4525,4.18,136387780,1.0,26.61
India,2009,Central,Diabetes,3209.03,1138.28,14.58,62.46,35.6,13.36,3.46,69.79,64,25,49.18,4750,3.21,197625070,1.07,15.55
India,2017,North,Flu,4756.72,1370.14,17.99,48.8,77.43,1.25,5.23,79.58,67,30,35.27,6827,2.86,164331063,0.9,22.24
India,2018,South,HIV/AIDS,107.41,434.5,18.17,90.35,30.33,2.71,5.56,57.19,72,20,44.01,4253,3.37,101361593,1.04,18.63
India,2016,West,Asthma,3664.93,804.57,7.85,40.87,83.31,4.82,4.62,71.17,71,26,38.49,3277,4.51,10571012,0.85,34.24
India,2006,West,Asthma,2316.28,1906.67,15.45,79.12,95.18,14.62,2.65,39.39,67,28,33.19,3625,4.57,168288822,1.1,27.97
India,2024,East,Malaria,2502.17,1137.69,7.81,55.21,36.57,12.52,7.87,67.76,71,27,29.08,2394,5.99,99978545,0.96,21.58
India,2006,East,Asthma,827.28,1355.33,11.92,68.39,75.3,5.41,5.31,35.64,75,20,43.8,2318,4.79,29564365,1.06,15.74
India,2009,East,Asthma,872.39,1808.98,13.11,88.99,30.19,13.21,0.74,47.41,72,28,25.29,5653,4.68,12325513,0.95,26.88
India,2021,West,Heart Disease,4545.42,1203.41,19.22,85.97,98.76,8.92,2.91,70.39,60,25,41.5,5736,2.42,190865642,0.94,18.02
India,2000,Central,Diabetes,1634.21,1267.75,14.94,77.41,53.99,7.19,2.59,62.2,74,22,26.24,6478,3.81,3192792,1.0,19.38
India,2000,West,COVID-19,4296.96,1379.61,4.31,41.52,70.58,5.02,1.05,33.41,55,28,46.35,4062,3.67,151359038,0.98,34.64
India,2002,North,HIV/AIDS,3096.27,359.3,6.95,78.96,52.32,4.86,5.75,42.67,74,27,30.57,4780,5.63,188212355,0.95,24.17
India,2000,Central,Flu,1048.69,671.51,11.48,64.35,73.05,10.76,7.87,81.09,61,32,46.16,1534,2.08,87301280,0.91,19.81
India,2010,North,Heart Disease,314.46,1589.31,2.12,69.26,59.0,8.61,0.79,92.06,57,34,27.2,6235,3.5,178780992,1.01,23.42
India,2002,North,Malaria,2363.7,1296.84,0.99,92.82,29.85,8.21,6.05,98.69,64,34,38.09,7524,5.67,19032671,1.07,28.48
India,2000,Central,Heart Disease,4477.76,1882.35,8.17,80.61,95.9,0.91,2.24,83.57,73,30,36.63,5068,3.18,29538026,0.89,34.89
India,2001,North,Diabetes,3030.13,685.42,3.38,49.0,27.5,6.91,4.03,87.88,63,20,25.69,2258,3.08,182488522,0.98,32.54
India,2020,West,Malaria,654.59,1397.15,3.24,58.35,28.78,5.98,4.26,84.75,63,30,48.72,2129,2.74,83086129,0.97,17.37
India,2017,South,Flu,3148.47,1486.11,4.6,55.17,42.24,6.88,7.58,35.63,66,22,27.62,3942,4.43,119317453,0.9,10.22
India,2001,South,Cancer,1258.95,324.92,17.67,68.99,74.36,7.41,7.02,44.84,67,29,36.37,3295,2.88,67083094,0.87,17.93
India,2009,South,Heart Disease,2982.51,1077.22,4.79,93.66,94.81,6.01,7.53,65.97,64,35,39.26,3646,5.84,114381063,1.09,11.58
India,2005,East,Flu,3043.08,1171.36,0.57,40.82,25.67,10.25,7.39,69.07,66,23,34.43,2215,3.62,179813485,1.02,15.05
India,2010,Central,Flu,4023.44,208.18,19.13,59.89,62.54,12.09,4.62,54.41,60,31,47.08,5245,5.86,195847095,0.89,17.08
India,2020,South,COVID-19,1000.71,1260.99,1.69,49.41,49.48,9.4,3.37,40.33,74,30,38.54,7901,4.3,81392542,1.09,25.89
India,2004,North,Heart Disease,4974.26,1692.11,15.61,60.48,49.56,3.62,6.03,34.79,70,31,34.68,4473,3.46,66027040,0.93,22.78
India,2004,West,Diabetes,264.46,1833.26,12.1,40.86,23.91,10.89,1.94,99.7,75,31,49.88,4472,5.93,59443914,0.9,25.17
