Country,Year,Region,Disease_Name,Prevalence_Rate,Incidence_Rate,Mortality_Rate,Recovery_Rate,Healthcare_Access_Index,Hospital_Beds_per_1000,Doctors_per_1000,Vaccination_Coverage,Life_Expectancy,Median_Age,Urban_Population_Percent,GDP_Per_Capita,Health_Expenditure_Percent_GDP,Population,Male_Female_Ratio,Smoking_Prevalence
India,2024,North,Tuberculosis,99.52,528.53,18.74,60.6,63.8,2.39,7.25,98.9,57,31,26.02,7077,5.75,92315960,1.05,24.44
India,2001,West,Tuberculosis,2017.45,1054.1,13.18,94.47,20.64,3.5,3.18,84.42,69,32,44.21,6090,2.93,115832293,1.09,11.75
India,2015,South,Asthma,4719.0,1244.11,1.9,73.4,37.44,11.36,1.59,46.42,64,31,37.7,4896,4.18,71134223,1.07,26.93
India,2008,North,Diabetes,4553.02,1487.16,2.72,89.56,73.22,11.96,6.09,61.52,57,22,35.91,4549,2.5,110203053,0.93,21.52
India,2005,West,HIV/AIDS,1185.61,1813.41,15.42,61.97,86.11,0.54,5.27,85.08,65,35,37.72,7219,2.93,149244438,1.02,10.13
India,2017,East,Tuberculosis,2147.62,593.93,0.62,57.58,68.84,1.73,4.91,82.52,71,30,38.7,4778,2.57,13389526,0.97,33.0
India,2009,East,Heart Disease,1331.34,1414.61,4.27,79.2,62.96,13.18,7.13,56.7,70,31,38.07,5706,2.03,139551699,0.94,33.28
India,2019,West,Diabetes,4080.07,358.35,1.85,82.16,83.41,11.48,5.88,37.03,59,28,33.14,3920,5.67,93296577,0.94,13.94
India,2022,South,Flu,2973.13,1549.9,17.05,85.37,88.99,4.65,7.92,62.32,60,26,26.85,1848,3.37,153505479,1.09,33.4
India,2018,South,HIV/AIDS,397.61,935.97,11.14,77.81,89.75,10.26,0.9,36.93,65,26,26.46,2835,5.11,74536461,0.91,18.89
India,2002,West,Cancer,2281.18,1339.63,12.89,83.75,36.41,5.3,1.81,52.97,55,22,32.65,7762,3.53,60842950,0.99,34.8
India,2022,East,HIV/AIDS,3696.73,1115.32,9.49,87.18,24.44,5.8,7.33,52.56,62,35,28.82,6688,2.01,176203581,0.95,18.07
India,2001,South,Cancer,680.28,429.43,14.57,55.08,75.69,6.7,4.24,52.56,57,29,29.27,7971,4.39,8654266,0.92,16.13
India,2004,North,Cancer,3865.63,353.69,5.36,72.26,22.37,13.22,7.46,47.27,59,24,32.31,3836,5.42,33347637,1.02,24.16
India,2018,Central,Flu,2564.99,1396.89,3.48,75.63,70.63,10.24,6.67,75.06,55,33,46.19,2530,2.33,37621054,1.1,12.73
India,2025,South,Cancer,2987.33,876.07,1.26,58.05,97.74,10.55,6.11,69.45,55,34,45.12,7178,4.46,174846457,1.05,20.9
India,2003,Central,Diabetes,466.63,36.45,5.16,85.71,33.89,10.81,2.82,97.68,56,22,31.16,7027,2.58,110276227,0.9,32.58
India,2019,Central,Diabetes,2391.89,730.0,17.75,86.6,27.57,3.16,2.68,89.54,70,32,46.85,3077,5.86,112235798,0.85,12.26
India,2001,East,Diabetes,1930.05,374.55,10.72,97.66,71.95,14.17,1.32,73.96,71,35,45.19,3017,3.84,168153281,0.96,25.84
India,2017,West,Asthma,3213.14,542.66,14.18,84.58,76.95,14.36,0.43,65.64,56,26,29.76,4675,2.75,184469734,1.03,25.82
India,2006,South,Diabetes,4678.93,1799.56,7.64,80.62,60.1,4.24,0.92,80.1,71,27,34.3,7112,4.6,18019162,1.05,17.33
India,2024,North,Malaria,4032.8,819.31,7.71,58.91,89.7,8.68,6.87,69.16,63,22,48.85,6886,2.63,78486785,0.98,25.3
India,2019,South,Heart Disease,4406.87,1229.89,8.84,87.61,96.78,3.02,1.46,31.24,55,23,36.53,1886,3.9,95970019,0.87,10.72
India,2002,North,Asthma,945.2,1889.91,1.5,54.76,63.27,2.84,3.55,34.1,66,31,31.95,5606,2.47,95939784,0.94,22.6
India,2005,North,Cancer,1974.0,539.32,13.86,88.24,61.18,9.13,1.02,73.35,71,30,29.75,5345,2.64,13920795,1.05,10.56
India,2022,South,COVID-19,1890.87,1114.87,7.67,83.17,61.05,4.59,4.98,46.48,64,22,39.43,1644,5.9,78051368,1.05,17.64
India,2001,South,Flu,1777.51,762.87,9.23,58.36,98.25,7.11,1.75,98.73,62,26,35.56,7457,5.17,141771473,0.89,22.5
India,2003,Central,Diabetes,3180.64,1146.4,5.52,86.03,61.47,9.85,6.32,35.89,61,29,48.97,3575,5.58,191498484,0.98,28.25
India,2025,South,Malaria,4750.49,408.48,2.57,51.18,77.94,14.04,1.58,42.39,63,26,28.15,6270,5.53,193105639,1.03,27.56
India,2023,North,Tuberculosis,3078.97,697.33,5.4,73.64,50.97,4.72,6.05,44.09,70,28,43.5,2595,4.33,120292211,1.05,26.38
India,2001,Central,Heart Disease,2623.1,1575.31,12.2,78.71,56.44,5.5,0.49,95.98,68,33,30.16,6027,2.98,142699420,1.08,23.01
India,2000,North,Malaria,4256.38,1136.0,5.57,98.96,77.14,14.45,4.84,49.95,75,25,30.01,4678,2.56,18276636,1.05,21.17
India,2013,South,Cancer,3756.76,359.07,1.82,42.72,53.93,4.91,4.07,57.52,69,27,35.85,2016,3.96,173023297,0.94,31.55
India,2012,West,Tuberculosis,1287.96,495.07,16.65,70.05,98.56,9.63,7.46,56.78,56,29,32.93,1826,3.81,168559985,0.86,17.88
India,2001,Central,Tuberculosis,529.13,615.41,11.86,87.36,30.05,6.4,2.12,38.92,59,31,39.98,6495,3.45,151753863,1.04,11.21
India,2014,East,Diabetes,851.33,102.74,3.69,69.85,72.2,9.52,4.22,97.54,71,25,44.47,2964,5.73,85450574,1.0,24.21
