Country,Year,Region,Disease_Name,Prevalence_Rate,Incidence_Rate,Mortality_Rate,Recovery_Rate,Healthcare_Access_Index,Hospital_Beds_per_1000,Doctors_per_1000,Vaccination_Coverage,Life_Expectancy,Median_Age,Urban_Population_Percent,GDP_Per_Capita,Health_Expenditure_Percent_GDP,Population,Male_Female_Ratio,Smoking_Prevalence
India,2017,South,Flu,2484.39,1652.72,10.62,56.05,76.03,9.46,1.51,58.89,67,24,26.23,7069,4.2,25182311,1.04,31.61
India,2021,West,Asthma,2058.83,234.13,16.15,63.91,54.99,4.95,1.19,84.53,73,27,30.15,2021,3.91,78783979,1.06,29.6
India,2011,South,Flu,4600.12,1686.51,1.06,75.4,20.05,4.82,1.41,37.45,74,30,45.59,4862,5.61,181113007,0.96,10.76
India,2015,Central,Heart Disease,353.63,698.32,18.18,80.6,71.53,3.45,6.1,31.37,73,33,37.07,5813,5.05,196782544,0.92,15.38
India,2021,South,COVID-19,815.19,1457.57,1.22,65.14,71.7,11.07,0.57,87.93,57,30,35.35,3568,4.39,79336198,0.98,12.62
India,2001,South,HIV/AIDS,689.75,1775.18,13.29,98.09,42.97,0.71,2.75,88.06,66,30,27.27,3705,4.82,2311602,1.02,33.34
India,2000,Central,Malaria,1311.51,1510.12,12.28,67.87,53.49,3.6,5.07,42.4,75,25,45.75,2977,2.27,39738722,0.97,20.34
India,2009,North,Diabetes,412.31,459.53,3.4,72.08,56.71,13.4,3.91,88.64,56,23,31.52,5041,5.16,143677417,1.09,15.24
India,2011,South,Flu,1175.91,369.66,13.77,43.22,36.54,12.75,2.16,57.52,75,26,35.52,6008,2.66,163849090,1.07,32.75
India,2015,East,COVID-19,1722.17,1383.35,6.84,49.28,62.23,10.32,3.97,48.31,59,33,30.4,7671,3.4,195791790,0.99,21.82
India,2006,West,Flu,4517.02,1743.42,13.91,71.08,74.49,11.35,5.3,59.28,69,32,41.52,7086,5.49,109124058,1.02,32.0
India,2004,North,Cancer,2783.51,1967.46,5.69,89.95,63.05,5.45,4.35,70.93,63,22,47.19,1789,4.87,82615871,1.03,28.52
India,2024,East,COVID-19,1692.02,751.51,0.63,46.19,85.95,12.41,3.4,62.88,74,24,37.45,2609,4.08,39026724,0.94,17.33
India,2003,Central,Flu,3754.51,1039.68,15.82,70.44,33.5,10.91,7.2,82.93,74,27,28.79,1990,2.6,49069913,0.89,32.63
India,2020,West,HIV/AIDS,280.07,1675.82,11.8,55.34,33.08,9.24,3.74,76.93,60,33,43.94,2389,5.67,158635047,1.01,19.81
India,2003,Central,Flu,4542.12,1834.13,19.26,80.0,70.38,4.63,4.5,45.25,74,33,25.1,6311,2.01,9380241,0.91,12.22
India,2014,Central,Asthma,1128.96,189.38,7.53,95.94,27.93,1.99,7.62,85.97,58,24,36.4,1728,4.87,128970087,1.07,24.09
India,2010,East,Heart Disease,4707.27,708.02,18.83,87.73,36.57,10.35,2.95,75.19,71,23,26.6,4995,4.2,45047994,1.08,24.22
India,2000,West,Diabetes,1138.97,389.8,2.37,95.25,57.27,14.66,3.51,85.13,74,32,39.18,2269,5.58,51383870,0.95,11.31
India,2020,East,Diabetes,2975.85,56.15,3.66,47.96,57.78,6.66,2.52,65.51,68,27,45.68,2409,5.71,180113859,0.88,34.48
India,2019,South,Malaria,4156.4,815.49,11.29,49.82,96.53,13.2,7.48,63.72,66,32,47.42,2466,3.28,151527979,0.91,19.61
India,2015,West,HIV/AIDS,1028.45,583.14,11.73,75.22,35.86,5.43,0.4,63.95,62,29,49.69,2305,4.43,146911618,0.89,26.73
